X_train,y_train
"['picked', 'receipt', 'something', 'earlier']",ham
"['aiyo', 'co', 'sm', 'ü', 'ü', 'neva', 'reply', 'wait', '4', 'ü', 'reply', 'lar', 'tot', 'ü', 'havent', 'finish', 'ur', 'lab', 'wat']",ham
"['guaranteed', '1000', 'cash', '2000', 'prize', 'claim', 'yr', 'prize', 'call', 'customer', 'service', 'representative']",spam
"['ugh', 'got', 'outta', 'class']",ham
"['ur', 'cash', 'balance', 'currently', '500', 'pound', 'maximize', 'ur', 'cash', 'send', 'go', '86688', '150p', 'meg', 'cc', '08718720201', 'hg', 'suite342', '2lands', 'row', 'w1j6hl']",spam
"['thinking', 'u', 'x']",ham
"['thanks', 'talk', 'saturday', 'dear', 'cherish', 'brother', 'role', 'model']",ham
"['u', 'today']",ham
"['mmm', 'yummy', 'babe', 'nice', 'jolt', 'suzy']",ham
"['okay', 'going', 'sleep', 'later']",ham
"['yup', 'thk', 'r', 'e', 'teacher', 'said', 'make', 'face', 'look', 'longer', 'darren', 'ask', '2', 'cut', 'short']",ham
"['dont', 'understand', 'message']",ham
"['fine', 'absolutly', 'fine']",ham
"['fine', 'difficulty', 'phone', 'work', 'mine', 'pls', 'send', 'another', 'friend', 'request']",ham
"['sent', 'lanre', 'fakeye', 'eckankar', 'detail', 'mail', 'box']",ham
"['cool', 'text', 'ready']",ham
"['pathaya', 'enketa', 'maraikara', 'pa']",ham
"['haha', 'awesome', 'omw', 'back']",ham
"['much', 'textin', 'bout']",ham
"['done', 'mean']",ham
"['kay', 'since', 'already']",ham
"['received', 'understood', 'n', 'acted', 'upon']",ham
"['ok', 'come', 'ur', 'home', 'half', 'hour']",ham
"['ur', 'chance', 'win', '250', 'cash', 'every', 'wk', 'txt', 'action', '80608', 'c', 'www', 'movietrivia', 'tv', 'custcare', '08712405022', '1x150p', 'wk']",spam
"['beautiful', 'truth', 'gravity', 'read', 'carefully', 'heart', 'feel', 'light', 'someone', 'feel', 'heavy', 'someone', 'leaf', 'goodmorning']",ham
"['tel', 'software', 'name']",ham
"['tell', 'drug', 'dealer', 'getting', 'impatient']",ham
"['guy', 'browsin', 'compulsory']",ham
"['yes', 'thought', 'thanks']",ham
"['u', 'mean', 'u', 'almost', 'done', 'done', 'wif', 'sleeping', 'tot', 'u', 'going', 'take', 'nap', 'yup', 'send', 'liao', 'picking', 'ard', '4', 'smth', 'lor']",ham
"['gran', 'onlyfound', 'afew', 'days', 'ago', 'cusoon', 'honi']",ham
"['want', 'sent', 'lt', 'gt', 'mesages', 'today', 'thats', 'sorry', 'hurt']",ham
"['macha', 'dont', 'feel', 'upset', 'assume', 'mindset', 'believe', 'one', 'evening', 'wonderful', 'plan', 'u', 'let', 'life', 'begin', 'call', 'anytime']",ham
['ok'],ham
"['sorry', 'call', 'later']",ham
"['ok', 'prob']",ham
"['wan2', 'win', 'meet', 'greet', 'westlife', '4', 'u', 'm8', 'currently', 'tour', '1', 'unbreakable', '2', 'untamed', '3', 'unkempt', 'text', '1', '2', '3', '83049', 'cost', '50p', 'std', 'text']",spam
"['ok', 'day', 'making', 'dinner', 'tonite', 'invited']",ham
"['well', 'good', 'morning', 'mr', 'hows', 'london', 'treatin', 'ya', 'treacle']",ham
"['think', 'rule', 'tamilnadu', 'tough', 'people']",ham
"['nah', 'perpetual', 'dd']",ham
"['den', 'wat', 'e', 'schedule', 'b', 'lk', 'sun']",ham
"['wake', 'lt', 'gt', 'morning']",ham
"['congratulations', 'u', 'claim', '2', 'vip', 'row', 'tickets', '2', 'c', 'blu', 'concert', 'november', 'blu', 'gift', 'guaranteed', 'call', '09061104276', 'claim', 'ts', 'cs', 'www', 'smsco', 'net', 'cost', '3', '75max']",spam
"['ok', 'lor']",ham
"['dont', 'gimme', 'lip', 'caveboy']",ham
"['first', 'time', 'history', 'need', 'comfort', 'luxury', 'sold', 'price', 'india', 'onion', 'rs', 'lt', 'gt', 'petrol', 'rs', 'lt', 'gt', 'beer', 'rs', 'lt', 'gt', 'shesil', 'lt', 'gt']",ham
"['hi', 'amy', 'sending', 'free', 'phone', 'number', 'couple', 'day', 'give', 'access', 'adult', 'party']",spam
"['said', 'would', 'woke']",ham
"['good', 'afternoon', 'love', 'good', 'see', 'word', 'ym', 'get', 'tm', 'smart', 'move', 'slave', 'smile', 'drink', 'coffee', 'await']",ham
"['hospital', 'da', 'return', 'home', 'evening']",ham
"['collect', 'valentine', 'weekend', 'paris', 'inc', 'flight', 'hotel', '200', 'prize', 'guaranteed', 'text', 'paris', '69101', 'www', 'rtf', 'sphosting', 'com']",spam
"['still', 'maybe', 'leave', 'credit', 'card', 'get', 'gas', 'get', 'back', 'like', 'told']",ham
"['told', 'returned', 'order']",ham
"['wishing', 'family', 'merry', 'x', 'ma', 'happy', 'new', 'year', 'advance']",ham
['like'],ham
"['oh', 'great', 'disturb', 'talk']",ham
"['sorry', 'missed', 'babe', 'late', 'slept', 'hope', 'enjoy', 'driving', 'lesson', 'boytoy', 'miss', 'teasing', 'kiss']",ham
"['id', 'check', 'like', '1', 'bowl', 'worth', 'left']",ham
"['size', 'elephant', 'tablet', 'u', 'shove', 'um', 'ur', 'as']",ham
"['love', 'as', 'enjoy', 'doggy', 'style']",ham
"['cant', 'pick', 'phone', 'right', 'pls', 'send', 'message']",ham
"['awarded', 'sipix', 'digital', 'camera', 'call', '09061221061', 'landline', 'delivery', 'within', '28days', 'cs', 'box177', 'm221bp', '2yr', 'warranty', '150ppm', '16', 'p', 'p', '3', '99']",spam
"['love', 'give', 'massage', 'use', 'lot', 'baby', 'oil', 'fave', 'position']",ham
"['urgent', '4', 'costa', 'del', 'sol', 'holiday', '5000', 'await', 'collection', 'call', '09050090044', 'toclaim', 'sae', 'tc', 'pobox334', 'stockport', 'sk38xh', 'cost', '1', '50', 'pm', 'max10mins']",spam
"['hmmm', 'give', 'one', 'day']",ham
"['shall', 'ask', 'one', 'thing', 'dont', 'mistake']",ham
"['worse', 'us', 'half', 'way', 'stop', 'better', 'complete']",ham
"['customer', 'place', 'wil', 'cal', 'u', 'sir']",ham
"['every', 'monday', 'nxt', 'week', 'vl', 'completing']",ham
"['india', 'win', 'level', 'series', 'mean', 'record']",ham
"['time', 'prob', '3']",ham
"['get', 'hep', 'b', 'immunisation', 'nigeria']",ham
"['sorry', 'text', 'amp', 'drive', 'coherently', 'see', 'twenty']",ham
"['india', 'take', 'lead']",ham
"['idea', 'guess', 'work', 'hour', 'supposed', 'leave', 'since', 'usual', 'nobody', 'interest', 'figuring', 'shit', 'last', 'second']",ham
"['waiting', 'machan', 'call', 'free']",ham
"['big', 'chic', 'common', 'declare']",ham
"['gas', 'station', 'go']",ham
"['ok', 'bus', 'come', 'soon', 'come', 'otherwise', 'tomorrow']",ham
"['movie', 'collect', 'car', 'oredi']",ham
"['need', 'get']",ham
"['sch', 'fr', '4', '6', 'dun', 'haf', 'da', 'book', 'sch', 'home']",ham
"['sorry', 'da', 'today', 'wont', 'come', 'play', 'driving', 'clas']",ham
"['darling', 'sister', 'school', 'resuming', 'minimum', 'wait', 'period', 'reapply', 'take', 'care']",ham
"['life', 'means', 'lot', 'love', 'life', 'love', 'people', 'life', 'world', 'call', 'friend', 'call', 'world', 'ge']",ham
"['table', 'occupied', 'waiting', 'tree']",ham
"['fuck', 'babe', 'miss', 'sooooo', 'much', 'wish', 'sleep', 'bed', 'lonely', 'go', 'sleep', 'dream', 'love']",ham
"['08714712388', '10am', '7pm', 'cost', '10p']",spam
"['okey', 'doke', 'home', 'dressed', 'co', 'laying', 'around', 'ill', 'speak', 'later', 'bout', 'time', 'stuff']",ham
"['reason', 'spoken', 'year', 'anyways', 'great', 'week', 'best', 'exam']",ham
"['co', 'lar', 'ba', 'dao', 'ok', '1', 'pm', 'lor', 'u', 'never', 'ask', 'go', 'ah', 'said', 'u', 'would', 'ask', 'fri', 'said', 'u', 'ask', 'today']",ham
"['ü', 'wan', '2', 'meet', 'n', 'combine', 'part', 'da', 'rest', 'da', 'project', 'going']",ham
"['fucking', 'chickened', 'messaged', 'would', 'late', 'woould', 'buzz', 'hear', 'word']",ham
"['83039', '62735', '450', 'uk', 'break', 'accommodationvouchers', 'term', 'condition', 'apply', '2', 'claim', 'mustprovide', 'claim', 'number', '15541']",spam
"['msg', 'rajini', 'come']",ham
"['imagine', 'life', 'without', 'see', 'fast', 'u', 'searching', 'worry', 'l', 'always', 'disturb', 'u', 'goodnoon']",ham
"['ok', 'juz', 'receive']",ham
"['free', 'today', 'haf', '2', 'pick', 'parent', 'tonite']",ham
"['samus', 'shoulder', 'yet']",ham
"['schedule', 'next', 'week', 'town', 'weekend']",ham
"['u', 'secret', 'admirer', 'reveal', 'think', 'u', 'r', 'special', 'call', '09065174042', 'opt', 'reply', 'reveal', 'stop', '1', '50', 'per', 'msg', 'recd', 'cust', 'care', '07821230901']",spam
"['mon', 'okie', 'lor', 'haha', 'best', 'cheap', 'n', 'gd', 'food', 'la', 'ex', 'oso', 'okie', 'depends', 'whether', 'wana', 'eat', 'western', 'chinese', 'food', 'den', 'u', 'prefer']",ham
"['aight', '8', 'latest', 'probably', 'closer', '7', 'jay', 'tyler', 'two', 'trip']",ham
"['ur', 'paper', 'e', 'morn', 'aft', 'tmr']",ham
"['gram', 'usually', 'run', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'lt', 'gt']",ham
"['way', 'rencontre', 'meet', 'mountains', 'dont']",ham
"['askd', 'u', 'question', 'hour', 'answer']",ham
"['whatsup', 'dont', 'u', 'want', 'sleep']",ham
"['dunno', 'wat', 'get', '4']",ham
"['pls', 'speak', 'wont', 'ask', 'anything', 'friendship']",ham
"['yesterday', 'going', 'home']",ham
"['many', 'day', 'since']",ham
"['remains', 'bro', 'amongst', 'bros']",ham
"['meeting', 'call', 'later']",ham
"['time', 'want', 'come']",ham
"['cool', 'come', 'havent', 'wined', 'dined']",ham
"['good', 'morning', 'princess', 'great', 'day']",ham
"['really', 'hope', 'work', 'doesnt', 'get', 'stressful', 'gr8', 'day']",ham
"['later', 'guess', 'needa', 'mcat', 'study']",ham
"['argh', 'fuck', 'nobody', 'town']",ham
"['dear', 'matthew', 'please', 'call', '09063440451', 'landline', 'complimentary', '4', 'lux', 'tenerife', 'holiday', '1000', 'cash', 'await', 'collection', 'ppm150', 'sae', 'cs', 'box334', 'sk38xh']",spam
"['happy', 'new', 'year', 'melody']",ham
"['yo', 'call', 'get', 'chance', 'friend', 'mine', 'wanted', 'ask', 'big', 'order']",ham
"['dear', 'voucher', 'holder', 'claim', 'week', 'offer', 'pc', 'please', 'go', 'http', 'www', 'wtlp', 'co', 'uk', 'text', 'ts', 'cs', 'apply']",spam
"['shuhui', 'say', 'change', '2', 'suntec', 'steamboat', 'u', 'noe', 'r', 'u']",ham
"['k', 'k', 'sm', 'chat']",ham
"['cool', 'text', 'parked']",ham
"['know', 'hook', 'mean', 'right']",ham
"['hahaha', 'use', 'brain', 'dear']",ham
"['come', 'tomorrow', 'di']",ham
"['anything', 'lar', 'ü', 'going', 'home', '4', 'dinner']",ham
"['toshiba', 'portege', 'm100', 'gd']",ham
"['ok', 'omw', 'castor']",ham
"['hello', 'love', 'went', 'day', 'alright', 'think', 'sweet', 'send', 'jolt', 'heart', 'remind', 'love', 'hear', 'screamed', 'across', 'sea', 'world', 'hear', 'ahmad', 'al', 'hallaq', 'loved', 'owned', 'possessive', 'passionate', 'kiss']",ham
"['sent', 'price', 'mean', 'lt', 'gt', 'g']",ham
"['angry', 'happen', 'dear']",ham
"['really', 'good', 'see', 'day', 'dudette', 'missing']",ham
"['forgot', 'take', '3', 'year', 'shower', 'sorry', 'phone', 'dead', 'yet']",ham
"['ho', 'ho', 'big', 'belly', 'laugh', 'see', 'ya', 'tomo']",ham
"['u', 'call', 'alter', '11', 'ok']",ham
"['pls', 'help', 'tell', 'ashley', 'cant', 'find', 'number', 'oh']",ham
"['k', 'k', 'sister', 'kid']",ham
"['wanna', 'watch', 'movie']",ham
"['love', 'decision', 'feeling', 'could', 'decide', 'love', 'life', 'would', 'much', 'simpler', 'le', 'magical']",ham
"['thanx', '4', 'time', 'spent', '2geva', 'bin', 'mint', 'ur', 'baby', 'want', 'u', 'xxxx']",ham
"['hey', 'guy', 'know', 'breathing', 'neck', 'get', 'bud', 'anyway', 'able', 'get', 'half', 'track', 'usf', 'tonight']",ham
"['nothin', 'come', 'mind', 'ü', 'help', 'buy', 'hanger', 'lor', 'ur', 'laptop', 'heavy']",ham
"['well', 'boy', 'glad', 'g', 'wasted', 'night', 'applebees', 'nothing']",ham
"['crazy', 'ar', 'married', 'ü', 'like', 'gd', 'looking', 'guy', 'frens', 'like', 'say', 'korean', 'leona', 'fave', 'dun', 'thk', 'aft', 'thinking', 'mayb', 'prob', 'go']",ham
"['say', 'good', 'sign', 'well', 'know', 'track', 'record', 'reading', 'woman']",ham
"['damn', 'poor', 'zac', 'stand', 'chance']",ham
"['reverse', 'cheating', 'mathematics']",ham
"['link', 'picture', 'sent', 'also', 'use', 'http', 'alto18', 'co', 'uk', 'wave', 'wave', 'asp', '44345']",spam
"['need', '8th', 'campus', 'atm', 'could', 'pick', 'hour', 'two']",ham
"['well', 'gonna', 'finish', 'bath', 'good', 'fine', 'night']",ham
"['love', 'wine', 'dine', 'lady']",ham
"['sorry', 'call', 'later']",ham
['ok'],ham
"['love', 'want', 'flood', 'pretty', 'pussy', 'cum']",ham
"['get', 'library']",ham
"['ok', 'prob', 'take', 'ur', 'time']",ham
"['congrats', 'treat', 'pending', 'mail', '2', 'day', 'mail', 'thru', 'respect', 'mother', 'home', 'check', 'mail']",ham
"['course', 'tease', 'know', 'simply', 'must', 'see', 'grin', 'keep', 'posted', 'prey', 'loving', 'smile', 'devouring', 'kiss']",ham
"['bday', 'real', 'april']",ham
"['dhoni', 'luck', 'win', 'big', 'title', 'win']",ham
"['yes', 'outside', 'like', '2', 'hour', 'called', 'whole', 'family', 'wake', 'cause', 'started', '1']",ham
"['good', 'trip', 'watch', 'remember', 'get', 'back', 'must', 'decide', 'easter']",ham
"['babe', 'got', 'enough', 'money', 'pick', 'bread', 'milk', 'give', 'back', 'get', 'home']",ham
"['talking', 'thats', 'de', 'wont']",ham
"['frens', 'go', 'lor', 'alone', 'wif', 'mum', 'n', 'si', 'lor']",ham
"['give', 'everything', 'want', 'need', 'actually', 'could', 'better', 'yor', 'got', 'money', 'get', 'work', 'get', 'man', 'pay', 'rent', 'even', 'fill', 'fucking', 'gas', 'tank', 'yes', 'stressed', 'depressed', 'even', 'call', 'home', 'thanksgiving', 'cuz', 'tell', 'nothing']",ham
"['545', 'lor', 'ya', 'go', '4', 'dinner', 'together']",ham
"['lol', 'forgot', 'eh', 'yes', 'bring', 'babe']",ham
"['gonna', 'go', 'get', 'taco']",ham
"['prabha', 'soryda', 'realy', 'frm', 'heart', 'sory']",ham
"['delhi', 'chennai', 'still', 'silent']",ham
"['k', 'give', 'kvb', 'acc', 'detail']",ham
"['yet', 'chikku', 'k', 'wat', 'abt', 'tht', 'guy', 'stopped', 'irritating', 'msging', 'u']",ham
"['vl', 'bcum', 'difficult']",ham
"['take', 'post', 'come', 'must', '1000', 'text', 'happy', 'reading', 'one', 'wiv', 'hello', 'caroline', 'end', 'favourite', 'bless']",ham
"['much', 'payed', 'suganya']",ham
"['yup', 'still', 'coffee', 'wif', 'frens', 'fren', 'drove', 'give', 'lift']",ham
"['plz', 'note', 'anyone', 'calling', 'mobile', 'co', 'amp', 'asks', 'u', 'type', 'lt', 'gt', 'lt', 'gt', 'disconnect', 'call', 'coz', 'iz', 'attempt', 'terrorist', 'make', 'use', 'sim', 'card', 'itz', 'confirmd', 'nokia', 'n', 'motorola', 'n', 'verified', 'cnn', 'ibn']",ham
"['yep', 'fine', '7', '30', '8', '30', 'ice', 'age']",ham
"['evry', 'emotion', 'dsn', 'hav', 'words', 'evry', 'wish', 'dsn', 'hav', 'prayrs', 'u', 'smile', 'world', 'wit', 'u', 'othrwise', 'even', 'drop', 'tear', 'dsn', 'lik', '2', 'stay', 'wit', 'u', 'b', 'happy', 'good', 'morning', 'keep', 'smiling']",ham
"['hey', 'mate', 'spoke', 'mag', 'people', 'deliver', 'end', 'month', 'deliver', '24th', 'sept', 'talk', 'later']",ham
"['tirupur', 'call', 'da']",ham
"['would', 'smoking', 'help', 'u', 'work', 'difficult', 'time']",ham
"['u', 'outbid', 'simonwatson5120', 'shinco', 'dvd', 'plyr', '2', 'bid', 'visit', 'sm', 'ac', 'smsrewards', '2', 'end', 'bid', 'notification', 'reply', 'end']",spam
"['ee', 'msg', 'na', 'poortiyagi', 'odalebeku', 'hanumanji', '7', 'name', '1', 'hanuman', '2', 'bajarangabali', '3', 'maruti', '4', 'pavanaputra', '5', 'sankatmochan', '6', 'ramaduth', '7', 'mahaveer', 'ee', '7', 'name', 'lt', 'gt', 'janarige', 'ivatte', 'kalisidare', 'next', 'saturday', 'olage', 'ondu', 'good', 'news', 'keluviri', 'maretare', 'inde', '1', 'dodda', 'problum', 'nalli', 'siguviri', 'idu', 'matra', 'lt', 'gt', 'true', 'neglet']",ham
"['adult', 'would', 'learn', 'experience', 'real', 'danger', 'dont', 'like', 'peep', 'using', 'drug', 'dont', 'need', 'comment']",ham
['plan'],ham
"['love', 'aathi', 'love', 'u', 'lot']",ham
"['geeee', 'miss', 'already', 'know', 'think', 'fuck', 'wait', 'till', 'next', 'year', 'together', 'loving', 'kiss']",ham
"['much', 'gave', 'morning']",ham
"['coming', 'home', '4', 'dinner']",ham
"['k', 'head', 'min', 'see']",ham
"['hurt', 'tease', 'make', 'cry', 'end', 'life', 'die', 'plz', 'keep', 'one', 'rose', 'grave', 'say', 'stupid', 'miss', 'u', 'nice', 'day', 'bslvyl']",ham
"['said', 'kiss', 'kiss', 'sound', 'effect', 'gorgeous', 'man', 'kind', 'person', 'need', 'smile', 'brighten', 'day']",ham
"['certainly', 'put', 'thing', 'perspective', 'something', 'like', 'happens']",ham
"['yes', 'see', 'ya', 'dot']",ham
"['tried', 'contact', 'reply', 'offer', '750', 'min', '150', 'textand', 'new', 'video', 'phone', 'call', '08002988890', 'reply', 'free', 'delivery', 'tomorrow']",spam
"['receiving', 'week', 'triple', 'echo', 'ringtone', 'shortly', 'enjoy']",spam
"['hello', 'going', 'village', 'pub', '8', 'either', 'come', 'accordingly', 'ok']",ham
"['need', 'strong', 'arm']",ham
"['kind', 'took', 'garage', 'centre', 'part', 'exhaust', 'need', 'replacing', 'part', 'ordered', 'n', 'taking', 'fixed', 'tomo', 'morning']",ham
"['either', 'idea', 'know', 'anyplaces', 'something']",ham
"['dont', 'know', 'jabo', 'abi']",ham
"['somewhere', 'fredericksburg']",ham
"['tell', 'bad', 'character', 'u', 'dnt', 'lik', 'try', 'change', 'lt', 'gt', 'add', 'tat', '2', 'new', 'year', 'resolution', 'waiting', 'ur', 'reply', 'frank', 'good', 'morning']",ham
"['dear', 'relieved', 'westonzoyland', 'going', 'plan', 'end']",ham
"['six', 'chance', 'win', 'cash', '100', '20', '000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150p', 'day', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']",spam
"['sim', 'subscriber', 'selected', 'receive', 'bonus', 'get', 'delivered', 'door', 'txt', 'word', 'ok', '88600', 'claim', '150p', 'msg', 'exp', '30apr']",spam
"['reach', '9', 'telling', 'dont', 'know']",ham
"['good', 'baby']",ham
"['blanket', 'sufficient', 'thx']",ham
"['oh', 'dang', 'mean', 'send', 'lol']",ham
"['back', '2', 'work', '2morro', 'half', 'term', 'u', 'c', '2nite', '4', 'sexy', 'passion', 'b4', '2', 'go', 'back', 'chat', '09099726481', 'luv', 'dena', 'calls', '1', 'minmobsmorelkpobox177hp51fl']",spam
"['still', 'work', 'going', 'small', 'house']",ham
"['huh', 'late', 'fr', 'dinner']",ham
"['wonder', 'get', 'text']",ham
"['ditto', 'worry', 'saying', 'anything', 'anymore', 'like', 'said', 'last', 'night', 'whatever', 'want', 'peace']",ham
['ok'],ham
"['senthil', 'group', 'company', 'apnt', '5pm']",ham
"['want', 'please', 'inside', 'outside', 'bedroom']",ham
"['god', 'bless', 'get', 'good', 'sleep', 'dear', 'pray']",ham
"['one', 'issue', 'california', 'okay', 'snow', 'manageable']",ham
"['told', 'hr', 'want', 'posting', 'chennai', 'working']",ham
"['alright', 'tyler', 'got', 'minor', 'crisis', 'home', 'sooner', 'thought', 'asap']",ham
"['da', 'stupid', 'da', 'always', 'sending', 'like', 'believe', 'message', 'pandy', 'mental']",ham
"['chk', 'ur', 'belovd', 'm', 'dict']",ham
"['ya', 'one', 'slow', 'poo']",ham
"['ok', 'every', 'night', 'take', 'warm', 'bath', 'drink', 'cup', 'milk', 'see', 'work', 'magic', 'still', 'need', 'loose', 'weight', 'know']",ham
"['also', 'north', 'carolina', 'texas', 'atm', 'would', 'go', 'gre', 'site', 'pay', 'test', 'result', 'sent']",ham
"['ew', 'one']",ham
"['would', 'still', 'cozy', 'exhausted', 'last', 'night', 'nobody', 'went', 'school', 'work', 'everything', 'closed']",ham
"['found', 'enc', 'lt', 'gt']",ham
"['cool', 'breeze', 'bright', 'sun', 'fresh', 'flower', 'twittering', 'bird', 'waiting', 'wish', 'u', 'goodmorning', 'amp', 'nice', 'day']",ham
"['bill', 'letter', 'expecting', 'one', 'orange', 'bill', 'may', 'still', 'say', 'orange']",ham
"['dad', 'wanted', 'talk', 'apartment', 'got', 'late', 'start', 'omw']",ham
"['hey', 'told', 'name', 'gautham', 'ah']",ham
"['gd', 'got', 'free', 'ice', 'cream', 'oso', 'wan']",ham
"['sweet', 'may', 'may', 'go', '4u', 'meet', 'carlos', 'gauge', 'patty', 'interest']",ham
"['waiting', 'e', 'car', '4', 'mum', 'lor', 'u', 'leh', 'reach', 'home', 'already']",ham
"['stop', 'club', 'tone', 'replying', 'stop', 'mix', 'see', 'tone', 'com', 'enjoy', 'html', 'term', 'club', 'tone', 'cost', 'gbp4', '50', 'week', 'mfl', 'po', 'box', '1146', 'mk45', '2wt', '2', '3']",spam
['tough'],ham
"['babe', 'love', 'cover', 'face', 'kiss']",ham
"['yeah', 'sure', 'leave', 'min']",ham
"['2', 'half', 'year', 'missed', 'friendship']",ham
"['turning', 'phone', 'mom', 'telling', 'everyone', 'cancer', 'sister', 'stop', 'calling', 'hurt', 'talk', 'put', 'see', 'u', 'u', 'get', 'home', 'love', 'u']",ham
"['well', 'keep', 'mind', 'got', 'enough', 'gas', 'one', 'round', 'trip', 'barring', 'sudden', 'influx', 'cash']",ham
"['get', 'official', 'england', 'poly', 'ringtone', 'colour', 'flag', 'yer', 'mobile', 'tonight', 'game', 'text', 'tone', 'flag', '84199', 'optout', 'txt', 'eng', 'stop', 'box39822', 'w111wx', '1', '50']",spam
"['congratulations', 'ur', 'awarded', 'either', '500', 'cd', 'gift', 'voucher', 'free', 'entry', '2', '100', 'weekly', 'draw', 'txt', 'music', '87066', 'tncs', 'www', 'ldew', 'com1win150ppmx3age16']",spam
"['sorry', 'call', 'later']",ham
"['erm', 'ill', 'pick', '6', '45pm', 'give', 'enough', 'time', 'get', 'park']",ham
"['oh', 'rite', 'well', 'im', 'best', 'mate', 'pete', 'went', '4', 'week', '2geva', 'longer', 'week']",ham
"['lunch', 'online']",ham
"['ah', 'well', 'confuses', 'thing', 'doesnt', 'thought', 'friend', 'maybe', 'wrong', 'thing', 'already', 'sort', 'invited', 'tho', 'may', 'come', 'co', 'money']",ham
"['pete', 'please', 'ring', 'meive', 'hardly', 'gotany', 'credit']",ham
"['cramps', 'stopped', 'going', 'back', 'sleep']",ham
"['maybe', 'pressies']",ham
"['freemsg', 'fav', 'xmas', 'tones', 'reply', 'real']",spam
"['basket', 'gettin', 'full', 'might', 'tonight']",ham
"['k', 'k', 'good', 'study', 'well']",ham
"['pure', 'hearted', 'person', 'wonderful', 'smile', 'make', 'even', 'enemy', 'feel', 'guilty', 'enemy', 'catch', 'world', 'smile', 'goodmorning', 'amp', 'smiley', 'sunday']",ham
"['wait', 'lt', 'gt', 'min']",ham
"['pansy', 'living', 'jungle', 'two', 'year', 'driving', 'worried']",ham
"['hello', 'damn', 'christmas', 'thing', 'think', 'decided', 'keep', 'mp3', 'doesnt', 'work']",ham
